"","title","appears.on","artist","writers","producer","released","streak"
"346","California Love","Greatest Hits (Death Row)","Dr. Dre and 2Pac","Dr. Dre, Chris Stainton, Roger Troutman, Larry Troutman, 2Pac","Dr. Dre","Feb. '96, Death Row","24 weeks; No. 6"
"347","La Bamba","The Ritchie Valens Story (Rhino)","Ritchie Valens","William Clauson","Bob Keane","Oct. '58, Del-Fi","15 weeks; No. 22"
"348","Piece of My Heart","Cheap Thrills (Columbia)","Big Brother and the Holding Company","Bert Berns, Jerry Ragovoy","John Simon","Aug. ’68, CBS","12 weeks; No. 12"
"349","Jim Dandy","Soul on Fire: The Best of LaVern Baker (Atlantic)","Lavern Baker","Lincoln Chase","Ahmet Ertegun,Jerry Wexler","Dec. '56, Atlantic","19 weeks; No. 17"
"350","Runaround Sue","Runaround Sue (Capitol)","Dion","Dion DiMucci, Ernie Maresca","Gene Schwartz","Sept. '61, Laurie","14 weeks; No. 1"
"351","Baby I Need Your Loving","The Ultimate Collection (Motown)","The Four Tops","Brian Holland, Lamont Dozier, Eddie Holland","Holland, Dozier, Holland","July '64, Motown","12 weeks; No. 11"
"352","Just My Imagination","Anthology (Motown)","The Temptations","Norman Whitfield, Barrett Strong","Whitfield","Jan. '71, Gordy","15 weeks; No. 1"
"353","Roxanne","Outlandos d'Amour (Interscope)","The Police","Sting","The Police","Jan '79, A&M","13 weeks; No. 32"
"354","Tiny Dancer","Madman Across the Water (Island)","Elton John","John, Bernie Taupin","Gus Dudgeon","Nov. '71, Uni","7 weeks; No. 41"
"355","Know You Got Soul","Paid in Full (Island)","Eric B. and Rakim","Eric B. and Rakim","Eric B. and Rakim","July '87, 4th and Broadway","Did Not Chart"
"356","Stills","Decade (Reprise)","Crosby","Neil Young","Crosby, Stills, Nash, Young","June '70, Atlantic","9 weeks; No. 14"
"357","Ticket to Ride","Help! (Capitol/Apple)","The Beatles","John Lennon, Paul McCartney","George Martin","April '65, Capitol","11 weeks; No. 1"
"358","Whipping Post","At Fillmore East (Mercury)","The Allman Brothers Band","Gregg Allman","Tom Dowd","Nov. '69, Capricorn","Non-single"
"359","Bitter Sweet Symphony","Urban Hymns (Virgin)","The Verve","Mick Jagger, Keith Richards, Richard Ashcroft","The Verve, Christopher Marc Potter, Youth","Sept. '97, Virgin","20 weeks; No. 12"
"360","Tell It Like It Is","Tell It Like It Is: Golden Classics (Collectables)","Aaron Neville","George Davis, Lee Diamond","Davis","Nov. '66, Par Lo","14 weeks; No. 2"
"361","Goodbye Yellow Brick Road","Goodbye Yellow Brick Road (Island)","Elton John","John, Bernie Taupin","Gus Dudgeon","Sept. '73, MCA","17 weeks; No. 2"
"362","Radio Free Europe","Murmur (A&M)","R.E.M.","R.E.M.","Mitch Easter, Don Dixon","July '83, I.R.S.","5 weeks; No. 78"
"363","Pride (In the Name of Love)","The Unforgettable Fire (Island)","U2","Bono, the Edge, Adam Clayton, Larry Mullen Jr.","Brian Eno, Daniel Lanois","Oct. '84, Island","15 weeks; No. 33"
"364","Hit the Road Jack","Ultimate Hits Collection (Rhino)","Ray Charles","Percy Mayfield","Sid Feller","Sept. '61, ABC-Paramount","11 weeks; No. 1"
"365","Maps","Fever to Tell (Interscope)","Yeah Yeah Yeahs","Yeah Yeah Yeahs","David Andrew Sitek","Feb. '04, Interscope","13 weeks; No. 87"
"366","Fake Plastic Trees","The Bends (Capitol)","Radiohead","Radiohead","John Leckie","March '95, Capitol","4 weeks; No. 65"
"367","Another Brick in the Wall Part 2","The Wall (Capitol)","Pink Floyd","Roger Waters","Bob Ezrin, Waters, David Gilmour","Nov. '79, Columbia","25 weeks; No. 1"
"368","Brown Eyed Handsome Man","The Anthology (Chess)","Chuck Berry","Berry","Leonard Chess, Phil Chess","Sept. '56, Chess","Did Not Chart"
"369","Wonderful World","Portrait of a Legend 1951-1964 (ABKCO)","Sam Cooke","Cooke, Herb Alpert, Lou Adler","Cooke, Adler","May '60, RCA","15 weeks; No. 12"
"370","Marquee Moon","Marquee Moon (Elektra)","Television","Tom Verlaine","Andy Johns","Feb. '77, Elektra","Did Not Chart"
"371","I Cant Explain","The Ultimate Collection (MCA)","The Who","Pete Townshend","Shel Talmy","March '65, Decca","2 weeks; No. 93"
"372","The Wind Cries Mary","Are You Experienced? (MCA)","The Jimi Hendrix Experience","Hendrix","Chas Chandler","May '67, Reprise","8 weeks; No. 65"
"373","Im a Man","His Best: The Chess 50th Anniversary Collection (Chess)","Bo Diddley","Diddley","Leonard Chess","June '55, Checker","Did Not Chart"
"374","Personal Jesus","Violator (Sire)","Depeche Mode","Martin Gore","Depeche Mode, Flood","Nov. '89, Sire","20 weeks; No. 28"
"375","White Room","Wheels of Fire (Polygram)","Cream","Pete Brown, Jack Bruce","Felix Pappalardi","Aug. '68, Atco","11 weeks; No. 6"
"376","How Deep Is Your Love","Saturday Night Fever (Polygram)","Bee Gees","Bee Gees","Bee Gees, Karl Richardson, Albhy Galuten","Sept. '77, RSO","33 weeks; No. 1 "
"377","Unchained Melody","Anthology 1962-1974 (Rhino)","The Righteous Brothers","Alex North, Hy Zaret","Phil Spector","July '65, Philles","13 weeks; No. 4"
"378","Highway 61 Revisited","Highway 61 Revisited (Columbia)","Bob Dylan","Dylan","Bob Johnston","Aug. '65, Columbia","Did not chart"
"379","The Letter","The Letter (Sundazed)","The Box Tops","Wayne Carson Thompson","Dan Penn","July '67, Mala","16 weeks; No. 1"
"380","Complete Control","The Clash (Epic)","The Clash","Mick Jones, Joe Strummer","Lee ""Scratch"" Perry","July '79, Epic","Non-single "
"381","All You Need is Love","Magical Mystery Tour (Capitol)","The Beatles","John Lennon, Paul McCartney","George Martin","July '67, Capitol","11 weeks; No. 1"
"382","Killing Me Softly With His Song","Killing Me Softly (Atlantic)","Roberta Flack","Norman Gimbel, Charles Fox","Joel Dorn","Jan '73, Atlantic","16 weeks; No. 1"
"383","Got My Mojo Working","The Anthology (Chess/MCA)","Muddy Waters","Preston Foster","Phil Chess, Leonard Chess, Willie Dixon","1957, Chess","Did not chart"
"384","Nowhere to Run","The Ultimate Collection (Motown)","Martha and the Vandellas","Brian Holland, Lamont Dozier, Eddie Holland","Brian Holland, Dozier","Feb. '65, Gordy","11 weeks; No. 8"
"385","Little Wing","Axis: Bold as Love (Experience Hendrix/MCA)","The Jimi Hendrix Experience","Hendrix","Chas Chandler","Feb. '68, Reprise","Non-single"
"386","Sweet Dreams (Are Made of This)","Sweet Dreams (RCA)","Eurythmics","Annie Lennox, Dave Stewart","Stewart","April '83, RCA","26 weeks; No. 1"
"387","Bad Moon Rising","Green River (Fantasy)","Creedence Clearwater Revival","John Fogerty","Fogerty","April '69, Fantasy","14 weeks; No. 2"
"388","Watching the Detectives","My Aim Is True (Rhino)","Elvis Costello","Costello","Nick Lowe","Nov. '77, Columbia","Did not chart"
"389","Tears in Heaven","""Rush"" Soundtrack (Warner Bros.)","Eric Clapton","Clapton, Will Jennings","Russ Titelman","Jan. '92, Duck/Reprise","26 weeks; No. 2"
"390","All Shook Up","Elvis 30 #1 Hits (RCA)","Elvis Presley","Otis Blackwell, Presley","Steve Sholes","March '57, RCA","30 weeks; No. 1"
"391","The Great Pretender","The Magic Touch: An Anthology (Mercury)","The Platters","Buck Ram","Ram","Dec. '55, Mercury","24 weeks; No. 1"
"392","The Loco-Motion","The Loco-Motion (Rhino)","Little Eva","Gerry Goffin, Carole King","Goffin","June '62, Dimension","16 weeks; No. 1"
"393","Spanish Harlem","The Very Best of Ben E. King (Rhino)","Ben E. King","Phil Spector, Jerry Leiber","Mike Stoller, Leiber","Dec. '60, Atco","16 weeks; No. 10"
"394","That Lady (Part 1 and 2)","The Essential Isley Brothers (Legacy)","The Isley Brothers","The Isley Brothers","The Isley Brothers","July '73, T-Neck","20 weeks; No. 6"
"395","Candle in the Wind","Goodbye Yellow Brick Road (Island)","Elton John","John, Bernie Taupin","Gus Dudgeon","Oct. '73, MCA",""
"396","California Love","Greatest Hits (Death Row)","Dr. Dre and 2Pac","Dr. Dre, Chris Stainton, Roger Troutman, Larry Troutman, 2Pac","Dr. Dre","Feb. '96, Death Row","24 weeks; No. 6"
"397","La Bamba","The Ritchie Valens Story (Rhino)","Ritchie Valens","William Clauson","Bob Keane","Oct. '58, Del-Fi","15 weeks; No. 22"
"398","Piece of My Heart","Cheap Thrills (Columbia)","Big Brother and the Holding Company","Bert Berns, Jerry Ragovoy","John Simon","Aug. ’68, CBS","12 weeks; No. 12"
"399","Jim Dandy","Soul on Fire: The Best of LaVern Baker (Atlantic)","Lavern Baker","Lincoln Chase","Ahmet Ertegun,Jerry Wexler","Dec. '56, Atlantic","19 weeks; No. 17"
"400","Runaround Sue","Runaround Sue (Capitol)","Dion","Dion DiMucci, Ernie Maresca","Gene Schwartz","Sept. '61, Laurie","14 weeks; No. 1"
"401","Baby I Need Your Loving","The Ultimate Collection (Motown)","The Four Tops","Brian Holland, Lamont Dozier, Eddie Holland","Holland, Dozier, Holland","July '64, Motown","12 weeks; No. 11"
"402","Just My Imagination","Anthology (Motown)","The Temptations","Norman Whitfield, Barrett Strong","Whitfield","Jan. '71, Gordy","15 weeks; No. 1"
"403","Roxanne","Outlandos d'Amour (Interscope)","The Police","Sting","The Police","Jan '79, A&M","13 weeks; No. 32"
"404","Tiny Dancer","Madman Across the Water (Island)","Elton John","John, Bernie Taupin","Gus Dudgeon","Nov. '71, Uni","7 weeks; No. 41"
"405","Know You Got Soul","Paid in Full (Island)","Eric B. and Rakim","Eric B. and Rakim","Eric B. and Rakim","July '87, 4th and Broadway","Did Not Chart"
"406","Stills","Decade (Reprise)","Crosby","Neil Young","Crosby, Stills, Nash, Young","June '70, Atlantic","9 weeks; No. 14"
"407","Ticket to Ride","Help! (Capitol/Apple)","The Beatles","John Lennon, Paul McCartney","George Martin","April '65, Capitol","11 weeks; No. 1"
"408","Whipping Post","At Fillmore East (Mercury)","The Allman Brothers Band","Gregg Allman","Tom Dowd","Nov. '69, Capricorn","Non-single"
"409","Bitter Sweet Symphony","Urban Hymns (Virgin)","The Verve","Mick Jagger, Keith Richards, Richard Ashcroft","The Verve, Christopher Marc Potter, Youth","Sept. '97, Virgin","20 weeks; No. 12"
"410","Tell It Like It Is","Tell It Like It Is: Golden Classics (Collectables)","Aaron Neville","George Davis, Lee Diamond","Davis","Nov. '66, Par Lo","14 weeks; No. 2"
"411","Goodbye Yellow Brick Road","Goodbye Yellow Brick Road (Island)","Elton John","John, Bernie Taupin","Gus Dudgeon","Sept. '73, MCA","17 weeks; No. 2"
"412","Radio Free Europe","Murmur (A&M)","R.E.M.","R.E.M.","Mitch Easter, Don Dixon","July '83, I.R.S.","5 weeks; No. 78"
"413","Pride (In the Name of Love)","The Unforgettable Fire (Island)","U2","Bono, the Edge, Adam Clayton, Larry Mullen Jr.","Brian Eno, Daniel Lanois","Oct. '84, Island","15 weeks; No. 33"
"414","Hit the Road Jack","Ultimate Hits Collection (Rhino)","Ray Charles","Percy Mayfield","Sid Feller","Sept. '61, ABC-Paramount","11 weeks; No. 1"
"415","Maps","Fever to Tell (Interscope)","Yeah Yeah Yeahs","Yeah Yeah Yeahs","David Andrew Sitek","Feb. '04, Interscope","13 weeks; No. 87"
"416","Fake Plastic Trees","The Bends (Capitol)","Radiohead","Radiohead","John Leckie","March '95, Capitol","4 weeks; No. 65"
"417","Another Brick in the Wall Part 2","The Wall (Capitol)","Pink Floyd","Roger Waters","Bob Ezrin, Waters, David Gilmour","Nov. '79, Columbia","25 weeks; No. 1"
"418","Brown Eyed Handsome Man","The Anthology (Chess)","Chuck Berry","Berry","Leonard Chess, Phil Chess","Sept. '56, Chess","Did Not Chart"
"419","Wonderful World","Portrait of a Legend 1951-1964 (ABKCO)","Sam Cooke","Cooke, Herb Alpert, Lou Adler","Cooke, Adler","May '60, RCA","15 weeks; No. 12"
"420","Marquee Moon","Marquee Moon (Elektra)","Television","Tom Verlaine","Andy Johns","Feb. '77, Elektra","Did Not Chart"
"421","I Cant Explain","The Ultimate Collection (MCA)","The Who","Pete Townshend","Shel Talmy","March '65, Decca","2 weeks; No. 93"
"422","The Wind Cries Mary","Are You Experienced? (MCA)","The Jimi Hendrix Experience","Hendrix","Chas Chandler","May '67, Reprise","8 weeks; No. 65"
"423","Im a Man","His Best: The Chess 50th Anniversary Collection (Chess)","Bo Diddley","Diddley","Leonard Chess","June '55, Checker","Did Not Chart"
"424","Personal Jesus","Violator (Sire)","Depeche Mode","Martin Gore","Depeche Mode, Flood","Nov. '89, Sire","20 weeks; No. 28"
"425","White Room","Wheels of Fire (Polygram)","Cream","Pete Brown, Jack Bruce","Felix Pappalardi","Aug. '68, Atco","11 weeks; No. 6"
"426","How Deep Is Your Love","Saturday Night Fever (Polygram)","Bee Gees","Bee Gees","Bee Gees, Karl Richardson, Albhy Galuten","Sept. '77, RSO","33 weeks; No. 1 "
"427","Unchained Melody","Anthology 1962-1974 (Rhino)","The Righteous Brothers","Alex North, Hy Zaret","Phil Spector","July '65, Philles","13 weeks; No. 4"
"428","Highway 61 Revisited","Highway 61 Revisited (Columbia)","Bob Dylan","Dylan","Bob Johnston","Aug. '65, Columbia","Did not chart"
"429","The Letter","The Letter (Sundazed)","The Box Tops","Wayne Carson Thompson","Dan Penn","July '67, Mala","16 weeks; No. 1"
"430","Complete Control","The Clash (Epic)","The Clash","Mick Jones, Joe Strummer","Lee ""Scratch"" Perry","July '79, Epic","Non-single "
"431","All You Need is Love","Magical Mystery Tour (Capitol)","The Beatles","John Lennon, Paul McCartney","George Martin","July '67, Capitol","11 weeks; No. 1"
"432","Killing Me Softly With His Song","Killing Me Softly (Atlantic)","Roberta Flack","Norman Gimbel, Charles Fox","Joel Dorn","Jan '73, Atlantic","16 weeks; No. 1"
"433","Got My Mojo Working","The Anthology (Chess/MCA)","Muddy Waters","Preston Foster","Phil Chess, Leonard Chess, Willie Dixon","1957, Chess","Did not chart"
"434","Nowhere to Run","The Ultimate Collection (Motown)","Martha and the Vandellas","Brian Holland, Lamont Dozier, Eddie Holland","Brian Holland, Dozier","Feb. '65, Gordy","11 weeks; No. 8"
"435","Little Wing","Axis: Bold as Love (Experience Hendrix/MCA)","The Jimi Hendrix Experience","Hendrix","Chas Chandler","Feb. '68, Reprise","Non-single"
"436","Sweet Dreams (Are Made of This)","Sweet Dreams (RCA)","Eurythmics","Annie Lennox, Dave Stewart","Stewart","April '83, RCA","26 weeks; No. 1"
"437","Bad Moon Rising","Green River (Fantasy)","Creedence Clearwater Revival","John Fogerty","Fogerty","April '69, Fantasy","14 weeks; No. 2"
"438","Watching the Detectives","My Aim Is True (Rhino)","Elvis Costello","Costello","Nick Lowe","Nov. '77, Columbia","Did not chart"
"439","Tears in Heaven","""Rush"" Soundtrack (Warner Bros.)","Eric Clapton","Clapton, Will Jennings","Russ Titelman","Jan. '92, Duck/Reprise","26 weeks; No. 2"
"440","All Shook Up","Elvis 30 #1 Hits (RCA)","Elvis Presley","Otis Blackwell, Presley","Steve Sholes","March '57, RCA","30 weeks; No. 1"
"441","The Great Pretender","The Magic Touch: An Anthology (Mercury)","The Platters","Buck Ram","Ram","Dec. '55, Mercury","24 weeks; No. 1"
"442","The Loco-Motion","The Loco-Motion (Rhino)","Little Eva","Gerry Goffin, Carole King","Goffin","June '62, Dimension","16 weeks; No. 1"
"443","Spanish Harlem","The Very Best of Ben E. King (Rhino)","Ben E. King","Phil Spector, Jerry Leiber","Mike Stoller, Leiber","Dec. '60, Atco","16 weeks; No. 10"
"444","That Lady (Part 1 and 2)","The Essential Isley Brothers (Legacy)","The Isley Brothers","The Isley Brothers","The Isley Brothers","July '73, T-Neck","20 weeks; No. 6"
"445","Candle in the Wind","Goodbye Yellow Brick Road (Island)","Elton John","John, Bernie Taupin","Gus Dudgeon","Oct. '73, MCA",""
"446","California Love","Greatest Hits (Death Row)","Dr. Dre and 2Pac","Dr. Dre, Chris Stainton, Roger Troutman, Larry Troutman, 2Pac","Dr. Dre","Feb. '96, Death Row","24 weeks; No. 6"
"447","La Bamba","The Ritchie Valens Story (Rhino)","Ritchie Valens","William Clauson","Bob Keane","Oct. '58, Del-Fi","15 weeks; No. 22"
"448","Piece of My Heart","Cheap Thrills (Columbia)","Big Brother and the Holding Company","Bert Berns, Jerry Ragovoy","John Simon","Aug. ’68, CBS","12 weeks; No. 12"
"449","Jim Dandy","Soul on Fire: The Best of LaVern Baker (Atlantic)","Lavern Baker","Lincoln Chase","Ahmet Ertegun,Jerry Wexler","Dec. '56, Atlantic","19 weeks; No. 17"
"450","Runaround Sue","Runaround Sue (Capitol)","Dion","Dion DiMucci, Ernie Maresca","Gene Schwartz","Sept. '61, Laurie","14 weeks; No. 1"
"451","Baby I Need Your Loving","The Ultimate Collection (Motown)","The Four Tops","Brian Holland, Lamont Dozier, Eddie Holland","Holland, Dozier, Holland","July '64, Motown","12 weeks; No. 11"
"452","Just My Imagination","Anthology (Motown)","The Temptations","Norman Whitfield, Barrett Strong","Whitfield","Jan. '71, Gordy","15 weeks; No. 1"
"453","Roxanne","Outlandos d'Amour (Interscope)","The Police","Sting","The Police","Jan '79, A&M","13 weeks; No. 32"
"454","Tiny Dancer","Madman Across the Water (Island)","Elton John","John, Bernie Taupin","Gus Dudgeon","Nov. '71, Uni","7 weeks; No. 41"
"455","Know You Got Soul","Paid in Full (Island)","Eric B. and Rakim","Eric B. and Rakim","Eric B. and Rakim","July '87, 4th and Broadway","Did Not Chart"
"456","Stills","Decade (Reprise)","Crosby","Neil Young","Crosby, Stills, Nash, Young","June '70, Atlantic","9 weeks; No. 14"
"457","Ticket to Ride","Help! (Capitol/Apple)","The Beatles","John Lennon, Paul McCartney","George Martin","April '65, Capitol","11 weeks; No. 1"
"458","Whipping Post","At Fillmore East (Mercury)","The Allman Brothers Band","Gregg Allman","Tom Dowd","Nov. '69, Capricorn","Non-single"
"459","Bitter Sweet Symphony","Urban Hymns (Virgin)","The Verve","Mick Jagger, Keith Richards, Richard Ashcroft","The Verve, Christopher Marc Potter, Youth","Sept. '97, Virgin","20 weeks; No. 12"
"460","Tell It Like It Is","Tell It Like It Is: Golden Classics (Collectables)","Aaron Neville","George Davis, Lee Diamond","Davis","Nov. '66, Par Lo","14 weeks; No. 2"
"461","Goodbye Yellow Brick Road","Goodbye Yellow Brick Road (Island)","Elton John","John, Bernie Taupin","Gus Dudgeon","Sept. '73, MCA","17 weeks; No. 2"
"462","Radio Free Europe","Murmur (A&M)","R.E.M.","R.E.M.","Mitch Easter, Don Dixon","July '83, I.R.S.","5 weeks; No. 78"
"463","Pride (In the Name of Love)","The Unforgettable Fire (Island)","U2","Bono, the Edge, Adam Clayton, Larry Mullen Jr.","Brian Eno, Daniel Lanois","Oct. '84, Island","15 weeks; No. 33"
"464","Hit the Road Jack","Ultimate Hits Collection (Rhino)","Ray Charles","Percy Mayfield","Sid Feller","Sept. '61, ABC-Paramount","11 weeks; No. 1"
"465","Maps","Fever to Tell (Interscope)","Yeah Yeah Yeahs","Yeah Yeah Yeahs","David Andrew Sitek","Feb. '04, Interscope","13 weeks; No. 87"
"466","Fake Plastic Trees","The Bends (Capitol)","Radiohead","Radiohead","John Leckie","March '95, Capitol","4 weeks; No. 65"
"467","Another Brick in the Wall Part 2","The Wall (Capitol)","Pink Floyd","Roger Waters","Bob Ezrin, Waters, David Gilmour","Nov. '79, Columbia","25 weeks; No. 1"
"468","Brown Eyed Handsome Man","The Anthology (Chess)","Chuck Berry","Berry","Leonard Chess, Phil Chess","Sept. '56, Chess","Did Not Chart"
"469","Wonderful World","Portrait of a Legend 1951-1964 (ABKCO)","Sam Cooke","Cooke, Herb Alpert, Lou Adler","Cooke, Adler","May '60, RCA","15 weeks; No. 12"
"470","Marquee Moon","Marquee Moon (Elektra)","Television","Tom Verlaine","Andy Johns","Feb. '77, Elektra","Did Not Chart"
"471","I Cant Explain","The Ultimate Collection (MCA)","The Who","Pete Townshend","Shel Talmy","March '65, Decca","2 weeks; No. 93"
"472","The Wind Cries Mary","Are You Experienced? (MCA)","The Jimi Hendrix Experience","Hendrix","Chas Chandler","May '67, Reprise","8 weeks; No. 65"
"473","Im a Man","His Best: The Chess 50th Anniversary Collection (Chess)","Bo Diddley","Diddley","Leonard Chess","June '55, Checker","Did Not Chart"
"474","Personal Jesus","Violator (Sire)","Depeche Mode","Martin Gore","Depeche Mode, Flood","Nov. '89, Sire","20 weeks; No. 28"
"475","White Room","Wheels of Fire (Polygram)","Cream","Pete Brown, Jack Bruce","Felix Pappalardi","Aug. '68, Atco","11 weeks; No. 6"
"476","How Deep Is Your Love","Saturday Night Fever (Polygram)","Bee Gees","Bee Gees","Bee Gees, Karl Richardson, Albhy Galuten","Sept. '77, RSO","33 weeks; No. 1 "
"477","Unchained Melody","Anthology 1962-1974 (Rhino)","The Righteous Brothers","Alex North, Hy Zaret","Phil Spector","July '65, Philles","13 weeks; No. 4"
"478","Highway 61 Revisited","Highway 61 Revisited (Columbia)","Bob Dylan","Dylan","Bob Johnston","Aug. '65, Columbia","Did not chart"
"479","The Letter","The Letter (Sundazed)","The Box Tops","Wayne Carson Thompson","Dan Penn","July '67, Mala","16 weeks; No. 1"
"480","Complete Control","The Clash (Epic)","The Clash","Mick Jones, Joe Strummer","Lee ""Scratch"" Perry","July '79, Epic","Non-single "
"481","All You Need is Love","Magical Mystery Tour (Capitol)","The Beatles","John Lennon, Paul McCartney","George Martin","July '67, Capitol","11 weeks; No. 1"
"482","Killing Me Softly With His Song","Killing Me Softly (Atlantic)","Roberta Flack","Norman Gimbel, Charles Fox","Joel Dorn","Jan '73, Atlantic","16 weeks; No. 1"
"483","Got My Mojo Working","The Anthology (Chess/MCA)","Muddy Waters","Preston Foster","Phil Chess, Leonard Chess, Willie Dixon","1957, Chess","Did not chart"
"484","Nowhere to Run","The Ultimate Collection (Motown)","Martha and the Vandellas","Brian Holland, Lamont Dozier, Eddie Holland","Brian Holland, Dozier","Feb. '65, Gordy","11 weeks; No. 8"
"485","Little Wing","Axis: Bold as Love (Experience Hendrix/MCA)","The Jimi Hendrix Experience","Hendrix","Chas Chandler","Feb. '68, Reprise","Non-single"
"486","Sweet Dreams (Are Made of This)","Sweet Dreams (RCA)","Eurythmics","Annie Lennox, Dave Stewart","Stewart","April '83, RCA","26 weeks; No. 1"
"487","Bad Moon Rising","Green River (Fantasy)","Creedence Clearwater Revival","John Fogerty","Fogerty","April '69, Fantasy","14 weeks; No. 2"
"488","Watching the Detectives","My Aim Is True (Rhino)","Elvis Costello","Costello","Nick Lowe","Nov. '77, Columbia","Did not chart"
"489","Tears in Heaven","""Rush"" Soundtrack (Warner Bros.)","Eric Clapton","Clapton, Will Jennings","Russ Titelman","Jan. '92, Duck/Reprise","26 weeks; No. 2"
"490","All Shook Up","Elvis 30 #1 Hits (RCA)","Elvis Presley","Otis Blackwell, Presley","Steve Sholes","March '57, RCA","30 weeks; No. 1"
"491","The Great Pretender","The Magic Touch: An Anthology (Mercury)","The Platters","Buck Ram","Ram","Dec. '55, Mercury","24 weeks; No. 1"
"492","The Loco-Motion","The Loco-Motion (Rhino)","Little Eva","Gerry Goffin, Carole King","Goffin","June '62, Dimension","16 weeks; No. 1"
"493","Spanish Harlem","The Very Best of Ben E. King (Rhino)","Ben E. King","Phil Spector, Jerry Leiber","Mike Stoller, Leiber","Dec. '60, Atco","16 weeks; No. 10"
"494","That Lady (Part 1 and 2)","The Essential Isley Brothers (Legacy)","The Isley Brothers","The Isley Brothers","The Isley Brothers","July '73, T-Neck","20 weeks; No. 6"
"495","Candle in the Wind","Goodbye Yellow Brick Road (Island)","Elton John","John, Bernie Taupin","Gus Dudgeon","Oct. '73, MCA",""
"496","California Love","Greatest Hits (Death Row)","Dr. Dre and 2Pac","Dr. Dre, Chris Stainton, Roger Troutman, Larry Troutman, 2Pac","Dr. Dre","Feb. '96, Death Row","24 weeks; No. 6"
"497","La Bamba","The Ritchie Valens Story (Rhino)","Ritchie Valens","William Clauson","Bob Keane","Oct. '58, Del-Fi","15 weeks; No. 22"
"498","Piece of My Heart","Cheap Thrills (Columbia)","Big Brother and the Holding Company","Bert Berns, Jerry Ragovoy","John Simon","Aug. ’68, CBS","12 weeks; No. 12"
"499","Jim Dandy","Soul on Fire: The Best of LaVern Baker (Atlantic)","Lavern Baker","Lincoln Chase","Ahmet Ertegun,Jerry Wexler","Dec. '56, Atlantic","19 weeks; No. 17"
"500","Runaround Sue","Runaround Sue (Capitol)","Dion","Dion DiMucci, Ernie Maresca","Gene Schwartz","Sept. '61, Laurie","14 weeks; No. 1"
